train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC07,MSC06,motor,0.7543859649122807,0.9444444444444444,1.0,0.6858824726471785,,0.9444444444444444
MSC07,MSC06,mem,0.86,1.0,1.0,0.7917540792540793,1.0,1.0
MSC07,MSC10,glass,0.505,0.95,,0.5026315789473684,,0.95
MSC07,MSC10,semantic,0.5,1.0,,0.5,1.0,1.0
MSC07,MSC10,motor,0.9,0.9444444444444444,1.0,0.8333333333333334,,0.9444444444444444
MSC07,MSC10,mem,0.94,1.0,0.907070707070707,0.9818181818181818,1.0,1.0
MSC10,MSC01,glass,0.515,0.85,,0.5078947368421053,,0.85
MSC10,MSC01,semantic,0.91,0.9,1.0,0.8508158508158509,,0.9
MSC10,MSC01,motor,0.81,0.95,1.0,0.7252747252747253,,0.95
MSC10,MSC01,mem,0.975,0.95,1.0,0.9587412587412587,,0.95
MSC10,MSC02,glass,0.5,0.85,,0.5,,0.85
MSC10,MSC02,semantic,0.59,0.9,1.0,0.5500515995872033,,0.9
MSC10,MSC02,motor,0.85,0.95,1.0,0.7788461538461539,,0.95
MSC10,MSC02,mem,0.955,0.95,1.0,0.9196969696969697,,0.95
MSC10,MSC03,glass,0.5,0.85,,0.5,,0.85
MSC10,MSC03,semantic,0.745,0.9,1.0,0.6641806722689075,,0.9
MSC10,MSC03,motor,0.875,0.95,0.9638888888888889,0.8174825174825175,,0.95
MSC10,MSC03,mem,0.9833333333333333,0.95,0.9666666666666667,1.0,,0.95
MSC10,MSC04,glass,0.605,0.85,1.0,0.5591675266597868,,0.85
MSC10,MSC04,semantic,0.725,0.9,1.0,0.6469187675070028,,0.9
MSC10,MSC04,motor,0.885,0.95,1.0,0.8141025641025641,,0.95
MSC10,MSC04,mem,0.94,0.95,0.9293939393939394,0.9642424242424242,,0.95
MSC10,MSC05,glass,0.505,0.85,,0.5026315789473684,,0.85
MSC10,MSC05,semantic,0.66,0.9,1.0,0.598546611627107,,0.9
MSC10,MSC05,motor,0.79,0.95,1.0,0.7068223443223444,,0.95
MSC10,MSC05,mem,0.905,0.95,1.0,0.8409090909090909,,0.95
MSC10,MSC06,glass,0.5684210526315789,0.85,,0.5497076023391813,,0.85
MSC10,MSC06,semantic,0.56,0.9,,0.5327485380116959,,0.9
MSC10,MSC06,motor,0.6157894736842106,0.95,,0.5791838665290678,,0.95
MSC10,MSC06,mem,0.825,0.95,1.0,0.7438186813186813,,0.95
MSC10,MSC07,glass,0.5,0.85,,0.5,,0.85
MSC10,MSC07,semantic,0.62,0.9,1.0,0.5693154454764362,,0.9
MSC10,MSC07,motor,0.9052631578947369,0.95,1.0,0.8484848484848485,,0.95
MSC10,MSC07,mem,0.6699999999999999,0.95,,0.6051470588235294,,0.95
